,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,71.89,57.0,63.89,64.11,54.11,60.89,57.44,49.44,40.44,48.22,75.22,66.22,60.56,68.33,56.33,60.44,59.67,55.56,48.0,66.89,57.53,58.56,64.88,51.44,57.66,57.86,47.85,50.14,54.95,51.84,44.62,36.5,43.52,67.89,59.76,54.66,61.67,50.84,53.85,50.14,43.32,60.37,51.92
1,64.6,57.0,65.1,62.6,57.6,58.9,60.6,55.4,42.2,48.0,76.4,62.8,61.7,60.4,57.4,53.42,57.6,59.6,46.6,62.2,56.5,55.55,58.3,51.44,58.75,56.5,50.94,53.79,53.16,54.69,50.0,38.09,43.32,68.95,56.68,55.68,54.51,51.8,51.98,53.79,42.06,56.14,50.99
2,64.6,63.4,68.0,62.1,52.6,60.3,62.4,50.3,41.3,49.2,63.4,65.6,64.6,66.8,59.9,59.08,61.2,52.8,49.0,68.6,57.9,58.02,58.3,57.22,61.37,56.05,46.52,47.65,54.42,56.32,45.4,37.27,44.4,57.22,59.2,58.3,60.29,54.06,55.23,47.65,44.22,61.91,52.25
3,63.6,51.3,62.1,59.9,49.9,54.5,52.8,49.5,42.5,44.7,73.5,61.6,55.7,62.6,53.5,55.37,57.6,52.9,46.2,55.1,52.95,54.48,57.4,46.3,56.05,54.06,44.13,47.74,49.19,47.65,44.67,38.36,40.34,66.33,55.59,50.27,56.5,48.28,51.98,47.74,41.7,49.73,47.79
4,67.0,64.8,60.1,61.8,49.4,61.1,55.7,54.3,42.2,44.78,70.8,64.5,61.4,62.8,56.6,55.55,55.1,53.8,46.3,61.5,54.175,57.05,60.47,58.48,54.24,55.77,43.69,48.55,55.14,50.27,49.01,38.09,40.41,63.9,58.21,55.41,56.68,51.08,49.73,48.55,41.79,55.5,48.89
5,67.5,64.8,62.2,53.8,53.5,59.8,55.6,48.6,43.1,47.0,72.2,63.7,58.1,62.5,55.1,55.28,58.7,47.8,46.9,62.3,53.925,56.34,60.92,58.48,56.14,48.55,47.31,43.14,53.97,50.18,43.86,38.9,42.42,65.16,57.49,52.44,56.41,49.73,52.98,43.14,42.33,56.23,48.67
6,66.8,62.3,65.8,55.5,49.9,63.8,54.3,49.4,43.2,44.2,77.8,64.6,56.5,59.4,55.4,52.54,62.5,53.9,47.2,60.6,56.05,57.13,60.29,56.23,59.38,50.09,44.13,48.64,57.58,49.01,44.58,38.99,39.89,70.21,58.3,50.99,53.61,50.0,56.41,48.64,42.6,54.69,50.59
7,63.7,62.1,62.8,57.8,58.8,57.4,51.8,48.6,39.5,44.89,70.9,65.6,63.7,60.8,58.0,53.77,61.4,55.4,51.2,60.4,57.1,58.02,57.49,56.05,56.68,52.16,52.01,50.0,51.8,46.75,43.86,35.65,40.51,63.99,59.2,57.49,54.87,52.35,55.41,50.0,46.21,54.51,51.53
8,61.5,62.2,62.9,62.7,56.9,63.6,55.2,49.1,44.2,37.3,73.8,63.9,54.8,66.4,58.6,58.73,61.1,50.6,45.7,61.1,54.625,56.52,55.5,56.14,56.77,56.59,50.32,45.67,57.4,49.82,44.31,39.89,33.66,66.6,57.67,49.46,59.93,52.89,55.14,45.67,41.24,55.14,49.3
9,68.2,66.4,66.8,64.7,55.6,66.8,59.3,55.2,44.5,45.7,76.9,66.4,64.6,65.0,50.8,57.49,56.1,55.3,48.9,69.7,57.5,58.73,61.55,59.93,60.29,58.39,49.18,49.91,60.29,53.52,49.82,40.16,41.24,69.4,59.93,58.3,58.66,45.85,50.63,49.91,44.13,62.9,51.89
10,58.5,68.3,69.3,65.2,56.9,57.3,58.5,54.3,44.1,48.5,76.1,61.9,62.7,66.1,51.0,58.47,52.2,58.6,49.8,66.1,56.675,54.74,52.8,61.64,62.54,58.84,50.32,52.89,51.71,52.8,49.01,39.8,43.77,68.68,55.86,56.59,59.66,46.03,47.11,52.89,44.94,59.66,51.15
11,68.0,57.9,66.2,52.6,56.8,61.5,57.4,52.4,39.2,43.4,79.9,66.5,60.3,64.8,50.4,57.31,62.2,53.3,46.4,62.8,56.175,58.82,61.37,52.25,59.75,47.47,50.23,48.1,55.5,51.8,47.29,35.38,39.17,72.11,60.02,54.42,58.48,45.49,56.14,48.1,41.88,56.68,50.7
12,69.22,65.1,65.8,63.2,58.6,68.1,59.6,51.5,41.3,50.0,74.3,67.8,66.0,68.1,62.0,60.23,59.2,57.2,49.6,67.4,58.35,59.97,62.47,58.75,59.38,57.04,51.83,51.62,61.46,53.79,46.48,37.27,45.13,67.06,61.19,59.57,61.46,55.96,53.43,51.62,44.76,60.83,52.66
13,69.3,67.9,64.3,65.1,56.0,63.7,55.0,53.1,43.6,56.7,75.4,69.4,60.6,62.2,54.7,55.02,57.5,57.3,46.8,65.56,56.79,61.38,62.54,61.28,58.03,58.75,49.53,51.71,57.49,49.64,47.92,39.35,51.17,68.05,62.63,54.69,56.14,49.37,51.89,51.71,42.24,59.17,51.25
14,69.0,63.5,66.6,63.8,54.3,60.4,60.2,53.6,46.6,44.1,75.4,65.7,65.4,61.2,50.3,54.13,63.6,54.6,44.1,61.4,55.925,58.1,62.27,57.31,60.11,57.58,48.03,49.28,54.51,54.33,48.37,42.06,39.8,68.05,59.29,59.02,55.23,45.4,57.4,49.28,39.8,55.41,50.47
15,64.4,63.9,62.4,61.2,56.0,64.7,57.3,51.1,43.6,44.9,73.8,65.89,60.6,66.3,55.8,58.64,59.8,50.8,49.5,59.2,54.825,58.28,58.12,57.67,56.32,55.23,49.53,45.85,58.39,51.71,46.12,39.35,40.52,66.6,59.47,54.69,59.84,50.36,53.97,45.85,44.67,53.43,49.48
