Sample Time,sensors 1 Lane 1,sensors 1 Lane 2,sensors 1 Lane 3,sensors 1 Lane 4,sensors 1 Lane 5,sensors 2 Lane 1,sensors 2 Lane 2,sensors 2 Lane 3,sensors 2 Lane 4,sensors 2 Lane 5,sensors 3 Lane 1,sensors 3 Lane 2,sensors 3 Lane 3,sensors 3 Lane 4,sensors 3 Lane 5,sensors 4 Lane 1,sensors 4 Lane 2,sensors 4 Lane 3,sensors 4 Lane 4,sensors 4 Lane 5,sensors 5 Lane 1,sensors 5 Lane 2,sensors 5 Lane 3,sensors 5 Lane 4,sensors 5 Lane 5,sensors 6 Lane 1,sensors 6 Lane 2,sensors 6 Lane 3,sensors 6 Lane 4,sensors 6 Lane 5.1,sensors 7 Lane 1,sensors 7 Lane 2,sensors 7 Lane 3,sensors 7 Lane 4,sensors 7 Lane 5,sensors 8 Lane 1,sensors 8 Lane 2,sensors 8 Lane 3,sensors 8 Lane 4,sensors 8 Lane 5
2/5/2017 0:00,71.89,57,63.89,64.11,54.11,60.89,57.44,49.44,40.44,48.22,75.22,66.22,60.56,68.33,56.33,59.67,55.56,48,66.89,57.53,64.88,51.44,57.66,57.86,48.83,54.95,51.84,44.62,36.5,43.52,67.89,59.76,54.66,61.67,50.84,53.85,50.14,43.32,60.37,51.92
2/5/2017 0:05,64.6,57,65.1,62.6,57.6,58.9,60.6,55.4,42.2,48,76.4,62.8,61.7,60.4,57.4,57.6,59.6,46.6,62.2,56.5,58.3,51.44,58.75,56.5,51.98,53.16,54.69,50,38.09,43.32,68.95,56.68,55.68,54.51,51.8,51.98,53.79,42.06,56.14,50.99
2/5/2017 0:10,64.6,63.4,68,62.1,52.6,60.3,62.4,50.3,41.3,49.2,63.4,65.6,64.6,66.8,59.9,61.2,52.8,49,68.6,57.9,58.3,57.22,61.37,56.05,47.47,54.42,56.32,45.4,37.27,44.4,57.22,59.2,58.3,60.29,54.06,55.23,47.65,44.22,61.91,52.25
2/5/2017 0:15,63.6,51.3,62.1,59.9,49.9,54.5,52.8,49.5,42.5,44.7,73.5,61.6,55.7,62.6,53.5,57.6,52.9,46.2,55.1,52.95,57.4,46.3,56.05,54.06,45.03,49.19,47.65,44.67,38.36,40.34,66.33,55.59,50.27,56.5,48.28,51.98,47.74,41.7,49.73,47.79
2/5/2017 0:20,67,64.8,60.1,61.8,49.4,61.1,55.7,54.3,42.2,44.78,70.8,64.5,61.4,62.8,56.6,55.1,53.8,46.3,61.5,54.175,60.47,58.48,54.24,55.77,44.58,55.14,50.27,49.01,38.09,40.41,63.9,58.21,55.41,56.68,51.08,49.73,48.55,41.79,55.5,48.89
2/5/2017 0:25,67.5,64.8,62.2,53.8,53.5,59.8,55.6,48.6,43.1,47,72.2,63.7,58.1,62.5,55.1,58.7,47.8,46.9,62.3,53.925,60.92,58.48,56.14,48.55,48.28,53.97,50.18,43.86,38.9,42.42,65.16,57.49,52.44,56.41,49.73,52.98,43.14,42.33,56.23,48.67
2/5/2017 0:30,66.8,62.3,65.8,55.5,49.9,63.8,54.3,49.4,43.2,44.2,77.8,64.6,56.5,59.4,55.4,62.5,53.9,47.2,60.6,56.05,60.29,56.23,59.38,50.09,45.03,57.58,49.01,44.58,38.99,39.89,70.21,58.3,50.99,53.61,50,56.41,48.64,42.6,54.69,50.59
2/5/2017 0:35,63.7,62.1,62.8,57.8,58.8,57.4,51.8,48.6,39.5,44.89,70.9,65.6,63.7,60.8,58,61.4,55.4,51.2,60.4,57.1,57.49,56.05,56.68,52.16,53.07,51.8,46.75,43.86,35.65,40.51,63.99,59.2,57.49,54.87,52.35,55.41,50,46.21,54.51,51.53
2/5/2017 0:40,61.5,62.2,62.9,62.7,56.9,63.6,55.2,49.1,44.2,37.3,73.8,63.9,54.8,66.4,58.6,61.1,50.6,45.7,61.1,54.625,55.5,56.14,56.77,56.59,51.35,57.4,49.82,44.31,39.89,33.66,66.6,57.67,49.46,59.93,52.89,55.14,45.67,41.24,55.14,49.3
2/5/2017 0:45,68.2,66.4,66.8,64.7,55.6,66.8,59.3,55.2,44.5,45.7,76.9,66.4,64.6,65,50.8,56.1,55.3,48.9,69.7,57.5,61.55,59.93,60.29,58.39,50.18,60.29,53.52,49.82,40.16,41.24,69.4,59.93,58.3,58.66,45.85,50.63,49.91,44.13,62.9,51.89
